﻿"編號","報修日期","完成日期","當前狀態","報價進度","歸檔狀態","負責工程師","客戶名稱","機型","時效(天)","聯絡人","電話","地址","保固","問題狀況","其他詳細資訊"
"T-3490","2026-06-08","2026-06-30","完修","同意報價","已封存","劉明忠 Yuie","大韓米熱狗","咖啡機","5","","","","","檢修","檢修"
"T-9840","2026-06-05","2026-06-16","完修","","已封存","林正賢 Jeff","家樂福超市-三民店","蒸烤箱","15","","","","","同意報價","同意報價  1.客戶名稱/經銷：家樂福超市-三民店 2.統編： 3.聯絡人：李俊毅安全課經理 4.聯絡電話號碼：0978-008-429 5.地址：台北市松山區三民路160號 6.機型/機號: 7.保固與否： 8.故障問題：維修服務25 不使用Cleanjet,可以烹飪，CleanJet 過程中水量過小。"
"T-6440","2026-06-08","2026-07-08","完修","同意報價","已封存","林正賢 Jeff","了了生活股份有限公 司","ICP 101","5","","","","","叫修：","叫修： 1.客戶名稱：了了生活股份有限公司 2.統編： 3.聯絡人：江孟龍 4.連絡電話：0953080358 5.維修地址：宜蘭縣礁溪鄉公園路70巷30號 6.機型/機號：E11SJ20042825153 7.保固與否：否 8.固障問題：左後方常常漏水  客戶想要先取得報價單"
"T-2597","2026-06-07","2026-06-08","完修","","已封存","邱信豪 Mars","家康信義店","XS","5","","","","","1.客戶名稱/經銷：家康信義店","1.客戶名稱/經銷：家康信義店 2.統編： 3.聯絡人：黃家翔 4.聯絡電話號碼： 0983276576 5.地址：台北市信義區松壽路12號5樓ATT4FUN百貨 6.機型/機號：iCP XS 7.保固與否：保固 8.故障問題：一直重複跳電"
"T-4100","2026-06-10","2026-06-16","報價","未報價","處理中","楊棟嘉 Ken","台中港中油（緯成）","SCC WE 101","5","","","","","現場老鼠咬破大量電線及管路","現場老鼠咬破大量電線及管路 需評估維修費用"
"T-4650","2026-06-10","2026-06-11","報價","已報價","處理中","廖聖典 Max","好膳企業股份有限公司","急速冷凍機","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：好膳企業股份有限公司 2.統編：42826026 3.聯絡人：郭照應 4.聯絡電話號碼：0932-998-269 5.地址：中和區中山路988巷8號2樓 6.機型/機號：IVY M-111700515 7.保固與否：否 8.故障問題：客戶自己撞壞面板"
"T-5396","2026-06-09","2026-07-09","完修","","已封存","劉峻宇 Otto","楊為升","Mina","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：楊為升 2.統編：95007995 3.聯絡人：楊為升 4.聯絡電話號碼：0988891771 5.地址：新北市石門區八甲1號（咖灰） 6.機型/機號：Mina 7.保固與否：否 8.故障問題：1.沖煮頭壓力值需調整（目前8-7bar 2.蒸汽棒頭段漏水 3.機器保養"
"T-4974","2026-06-11","2026-06-11","報價","已報價","處理中","陳祐嘉 Dean","北投雅樂軒酒店","SCC WE 101","5","","","","","叫修：","叫修： 1.客戶名稱/經銷：北投 雅樂軒酒店 2.統編： 3.聯絡人：工程值班 4.聯絡電話號碼：0976-756878 5.地址：台北市北投區大業路300巷1號3樓廚房 6.機型/機號：SCC E11SH16042511402 7.保固與否：過保 8.故障問題：噴槍無法收回"
"T-5161","2026-06-11","2026-06-15","完修","","已封存","劉峻宇 Otto","大巨蛋Sogo City","SCC WE 61","5","","","","","1.客戶名稱/經銷：大巨蛋Sogo City","1.客戶名稱/經銷：大巨蛋Sogo City 2.統編： 3.聯絡人： 4.聯絡電話號碼：03 211 8200 5.地址：台北市信義區忠孝東路四段515號 6.機型/機號：E61SJ25083248630+E61SJ25083248631 7.保固與否：保固內 8.故障問題：依據原廠要求更換:40.06.037P脈衝發生器*2"
"T-3354","2026-06-12","2026-06-16","完修","","已封存","劉明忠 Yuie","嘉豪團膳便當","ICP 202","5","","","","","1.客戶名稱/經銷：嘉豪團膳便當","1.客戶名稱/經銷：嘉豪團膳便當 2.統編： 3.聯絡人：蕭先生 4.聯絡電話號碼： 0977-013-092 06 680 1953 5.地址：733台南市東山區東勢183-1號 6.機型/機號：icp40盤瓦斯（右台） 7.保固與否：保固 8.故障問題：門膠條破損"
"T-9951","2026-06-12","2026-07-10","完修","同意報價","已封存","劉明忠 Yuie","高雄空廚","ICC 202","5","","","","","無法清洗","無法清洗 (大昌機台)"
"T-3433","2026-06-12","2026-06-15","完修","","已封存","劉明忠 Yuie","全家-仁武五和店","XS","5","","","","","網路斷線","網路斷線"
"T-1933","2026-06-12","2026-06-16","完修","","已封存","劉明忠 Yuie","全家-善化啤酒店","XS","5","","","","","網路斷線","網路斷線"
"T-1223","2026-06-12","2026-06-15","完修","","已封存","劉明忠 Yuie","全家-台南崇善店","XS","5","","","","","網路斷線","網路斷線"
"T-9612","2026-07-20","","未執行","","處理中","劉明忠 Yuie","全家-左營海訓店","XS","30","","","","","沒有在rational網路平台裡面","沒有在rational網路平台裡面"
"T-1539","2026-06-12","","未完成 / 另約時間","","處理中","劉明忠 Yuie","家樂福-台南新營","SCC WE 201","50","","","","","索賠同意報價維修換玻璃","索賠同意報價維修換玻璃  7/10 待零件同意報價一起處理"
"T-3871","2026-06-12","2026-06-15","完修","","已封存","陳柏凱 Kevin","全家-花蓮尚美","Xs","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：全家- 花蓮尚美店 2.統編： 3.聯絡人：蕭小姐 4.聯絡電話號碼：038246503 5.地址：花蓮縣花蓮市中美路２９３之８號 6.機型/機號：E60SJ22113014224 7.保固與否：否 8.故障問題：6/10來維修後Rational智能蒸烤爐喇叭聲音異常，側板未鎖起來，設備會自己關機 （非清洗完畢後）"
"T-0955","2026-06-12","","未完成 / 另約時間","","處理中","廖聖典 Max","日樂芙台灣股份有限公司(薇思克)","MF70.1","5","","","","","1.客戶名稱/經銷：日樂芙台灣股份有限公司(薇思克)","1.客戶名稱/經銷：日樂芙台灣股份有限公司(薇思克) 2.統編：80292991 3.聯絡人：蘇雨欣小姐  4.聯絡電話號碼：02-29957258#302 5.地址：三重區光復路一段61巷26號7樓之1 6.機型：MF70.1/041800297 7.保固與否：過保 8.問題：有異音"
"T-0390","2026-06-12","2026-06-17","完修","","已封存","陳柏凱 Kevin","美棧中壢","ICP101","5","","","","","1.客戶名稱/經銷：美棧中壢","1.客戶名稱/經銷：美棧中壢 2.統編：00111543 3.聯絡人： 工務朱文祥 4.聯絡電話號碼：0936107712 (03)4266363 5.地址：桃園縣中壢市中正路89號 6.機型：ICP101/E11SJ25073235478 7.保固與否：保固 8.問題：操作時運轉覺得聲響比以前大"
"T-7793","2026-06-12","2026-06-15","完修","","已封存","陳柏凱 Kevin","天母餐酒館/啟辰","ICP 61","5","","","","","""緊急""叫修：","""緊急""叫修： 1.客戶名稱/經銷：天母餐酒館/啟辰 2.統編： 3.聯絡人：郭先生 4.連絡電話：0914035500 5.維修地址：台北市士林區中山北路七段36之1號 6.機型/機號：E61SJ24073152393 7.保固與否：是 8.固障問題：溫度感測器故障"
"T-3480","2026-06-12","2026-06-22","完修","","已封存","劉峻宇 Otto","6/22 裝機","SLAYER 半自動單孔咖啡機","10","","","","","2026/6/22(一)上午10:00準時送達","2026/6/22(一)上午10:00準時送達 桃園市大溪區石園路498號 SLAYER 半自動單孔咖啡機(1相220V) SL-M-ESPRESSO-B-4 機器序號: 13592 聯絡人:	0982488017 陳維修"
"T-2500","2026-06-12","2026-06-17","完修","","已封存","劉峻宇 Otto","花宅咖啡有限公司","咖啡機","5","","","","","叫修：","叫修： 1.客戶名稱/經銷：花宅咖啡有限公司 2.統編： 3.聯絡人：賴先生 4.連絡電話：0920235129  5.維修地址：臺北市松山區中華里敦化北路145巷6號 6.機型/機號： 7.保固與否： 8.固障問題：出水量忽高忽低! 口頭報價:30005-21200 流量計2,500+工資800請派工!"
"T-6318","2026-06-14","2026-06-17","完修","","已封存","劉明忠 Yuie","竹湖山居","SCC WE 61","5","","","","","1.客戶名稱/經銷：竹湖山居","1.客戶名稱/經銷：竹湖山居 2.統編： 3.聯絡人：許美菊 4.聯絡電話號碼：  09-3797-5692 5.地址：台東縣長濱鄉竹湖村移民路一鄰41號 6.機型/機號： 7.保固與否：否 8.故障問題："
"T-3595","2026-06-15","2026-06-15","完修","","已封存","楊棟嘉 Ken","21世紀-昌平","ICP 61","5","","","","","叫修規定格式","叫修規定格式 1.客戶名稱/經銷：21世紀-昌平 2.統編： 3.聯絡人：羅S-店長 4.聯絡電話號碼：04-22475721 5.地址：台中市北屯區昌平路一段352-1號1樓 6.機型/機號： 7.保固與否：否 8.故障問題：無法清洗"
"T-4822","2026-06-15","2026-06-15","報價","同意報價","處理中","林正賢 Jeff","金色三麥桃園藝文店","Icp 101","5","","","","","叫修","叫修 店  名:金色三麥桃園藝文店 地  址:桃園市南平路301號 現場連絡人:楊雅婷 連絡電話: 0921902437 維修設備:蒸烤箱會漏水 提供照片:清洗漏水"
"T-6451","2026-06-15","2026-06-15","完修","","已封存","陳柏凱 Kevin","金色三麥 中壢店","SCC WE 61","5","","","","","叫修","叫修 店    名:金色三麥 中壢店 地    址:桃園市中壢區元化路357號8樓 連絡人:吳育慈 電    話:03-2709090 機號E61SI17022574945 故障狀況: Service 26"
"T-6183","2026-06-15","2026-06-15","完修","","已封存","劉明忠 Yuie","大和食堂-六合","ICP 61","5","","","","","清洗中斷","清洗中斷 代碼32_1_22"
"T-3967","2026-06-15","2026-06-15","完修","","已封存","陳祐嘉 Dean","全家-  鑫都店","XS","5","","","","","叫修:二級維修","叫修:二級維修 1.客戶名稱/經銷：全家便利商店- 鑫都店 2.統編： 3.聯絡人：江勝倚  4.聯絡電話號碼：0223885903 5.地址：台北市萬華區成都路７１號１樓 6.機型/機號:E60SJ23073072221 7.保固與否： 8.故障問題：Rational智能蒸烤爐不運作!"
"T-3780","2026-06-15","2026-06-15","完修","","已封存","邱信豪 Mars","全家- 民旺店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店- 民旺店 2.統編： 3.聯絡人：陳先生 4.聯絡電話號碼：0225172095 5.地址：台北市中山區民生東路二段１４７巷３之１號１樓 6.機型/機號:E60SJ24023118364 7.保固與否： 8.故障問題：Rational智能蒸烤爐要更新"
"T-0638","2026-06-15","2026-06-16","完修","","已封存","陳柏凱 Kevin","金色三麥竹北","ICP 101","5","","","","","1.客戶名稱/經銷：金色三麥 竹北店","1.客戶名稱/經銷：金色三麥 竹北店 2.統編： 3.聯絡人：林峻祥 4.聯絡電話號碼：0987765160 5.地址：新竹縣竹北市自強南路36號1樓 6.機型/機號：右:E11SJ22022953924 7.保固與否：過保 8.故障問題：S47_1"
"T-5602","2026-06-15","2026-06-16","取消叫修","","已封存","林正賢 Jeff","全家-板橋車站","XS","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：全家-板橋車站店 2.統編： 3.聯絡人：王楷崴 4.聯絡電話號碼：0289693201 5.地址：新北市板橋區縣民大道二段７號Ｂ１ 6.機型/機號：E60SJ22012943255 7.保固與否： 8.故障問題：Rational智能蒸烤爐球閥故障S27"
"T-6434","2026-06-15","2026-07-07","取消叫修","","已封存","劉明忠 Yuie","居高風味餐廳","SCC WE 61","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：居高風味餐廳  2.統編： 3.聯絡人：鄭先生 4.聯絡電話號碼：0975073717 5.地址：屏東中正路二段168號 6.機型/機號：機型：SCC061  7.保固與否：過保 8.故障問題：時間不會變動，烹煮功能正常  周三公休"
"T-8626","2026-06-15","","未完成 / 另約時間","","處理中","楊棟嘉 Ken","晴品眼鏡","咖啡機","5","","","","","咖啡機裝機","咖啡機裝機"
"T-9427","2026-06-16","2026-06-16","完修","","已封存","劉明忠 Yuie","全家-安定緯穎店","XS","5","","","","","叫修:二級維修","叫修:二級維修 1.客戶名稱/經銷：全家便利商店-安定緯穎店 2.統編： 3.聯絡人：羅店長 4.聯絡電話號碼：065052311 5.地址：台南市安定區北園三路８號４樓 6.機型/機號:E60SJ23053056139 7.保固與否： 8.故障問題：Rational智能蒸烤爐不能開機,廠區店，請先電聯羅店長0970491640"
"T-5283","2026-06-16","2026-07-01","完修","","已封存","邱信豪 Mars","全家_回裝","XS","15","","","","","麻煩派工：","麻煩派工：  7/1 10:00 iCP XS裝機裝回 全家陳課長 0933218980 新北市中和區圆通路295之5號1樓"
"T-4360","2026-06-16","","未完成 / 另約時間","","處理中","陳祐嘉 Dean","尚品義響-齊成","磨豆機","5","","","","","叫修","叫修 1.齊成咖啡(台中經銷商) 2.聯絡人:  2.mazzer 3.設備地址：忘記了 但知道位置 5.問題："
"T-5108","2026-06-16","2026-07-01","取消叫修","","已封存","楊棟嘉 Ken","全家-太保祥東","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-太保祥東店 2.統編： 3.聯絡人：葉永坤 4.聯絡電話號碼：	053621853 5.地址：嘉義縣太保市安仁里１３鄰祥和一路東段２０號一樓 6.機型/機號:E60SJ23053061834 7.保固與否： 8.故障問題：Rational智能蒸烤爐顯示蒸氣發生器水位識別故障 s-14 蒸汽發生器水位檢測故障"
"T-2290","2026-06-16","2026-06-16","完修","","已封存","劉峻宇 Otto","稼咖啡","磨豆機","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：稼咖啡 2.統編： 3.聯絡人：黃老闆 4.聯絡電話號碼：2954-9699 / 0925-180291 5.地址： 新北市民族路129巷10號 6.機型/機號：Mazzer jolly  7.保固與否：過保 8.故障問題：無法出粉"
"T-8921","2026-06-16","2026-06-17","完修","","已封存","林正賢 Jeff","喬元手創食品","ICP 202","5","","","","","叫修：","叫修： 1.客戶名稱/經銷：喬元手創食品有限公司 2.統編： 3.聯絡人：章小姐 4.聯絡電話號碼：02-2206-6300 5.地址：樹林區忠愛街3號6樓 6.機型/機號：ICP 202 7.保固與否：保固，剛裝機不久 8.故障問題：門墊圈底部脫落"
"T-0289","2026-06-16","2026-06-16","完修","","已封存","劉峻宇 Otto","展示廚房","急速冷凍機","5","","","","","⬆️廚房展示間CP next 補單","⬆️廚房展示間CP next 補單"
"T-3189","2026-06-16","2026-06-17","完修","","已封存","楊棟嘉 Ken","快樂蘇打-鹿港店","SCC XS","5","","","","","漏水","漏水"
"T-7115","2026-06-16","2026-06-17","報價","","處理中","林正賢 Jeff","馬禾軒","急速冷凍機","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：馬禾軒 2.統編： 3.聯絡人：Marc Lin 4.聯絡電話號碼：0939333458 5.地址： 宜蘭縣羅東鎮純精路三段 158號 6.機型/機號： MF70.1 / 200700265M 7.保固與否：否 8.故障問題：溫度無法下降"
"T-2169","2026-06-15","2026-06-15","完修","","已封存","劉峻宇 Otto","⬆️4樓咖啡部門展間 Mytico","Mytico","5","","","","","維修","維修"
"T-9671","2026-06-16","2026-07-01","完修","","已封存","劉明忠 Yuie","隱岳閣-台南雀客","SCC WE 101","5","","","","","同意報價","同意報價 .聯絡人：邱國恩  4.聯絡電話號碼：06-2433613 5.地址：台南市永康區塩行里中正北路218號 6.機型/機號： 7.保固與否：否 8.故障問題：漏水"
"T-7492","2026-06-16","2026-06-23","完修","","已封存","劉明忠 Yuie","新悅花園酒店","SCC WE 202","8","","","","","鍋爐保養","鍋爐保養"
"T-5868","2026-06-17","2026-07-01","取消叫修","","已封存","楊棟嘉 Ken","全家-布袋上海店","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-布袋上海店 2.統編： 3.聯絡人：周小姐 4.聯絡電話號碼：	053478805  5.地址：嘉義縣布袋鎮上海路２１１號 6.機型/機號:E60SJ23053061835 7.保固與否： 8.故障問題：Rational智能蒸烤爐裡面網子螺絲掉一顆"
"T-9282","2026-06-14","2026-06-15","完修","","已封存","楊棟嘉 Ken","21世紀-昌平","ICP 61","5","","","","","叫修規定格式","叫修規定格式 1.客戶名稱/經銷：21世紀-昌平 2.統編： 3.聯絡人：羅S-店長 4.聯絡電話號碼：04-22475721 5.地址：台中市北屯區昌平路一段352-1號1樓 6.機型/機號： 7.保固與否：否 8.故障問題：無法清洗"
"T-8021","2026-06-29","2026-06-30","完修","","已封存","林正賢 Jeff","桃園醫院-左台","SCC WE101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：桃園醫院 2.統編： 3.聯絡人：營養師 /  4.聯絡電話號碼：03-3699721轉3041 5.地址：桃園市桃園區中山路1492號B1營養科供膳 6.機型/機號:E11SI17032576688(左邊蒸烤箱) 7.保固與否：過保 8.故障問題：漏水"
"T-3053","2026-06-17","2026-07-06","完修","同意報價","已封存","劉明忠 Yuie","家樂福 台東店","SCC WE 201","5","","","","","叫修:","叫修: 1.公司名稱:家樂福 台東店 2.統編： 3.聯絡人：養護課長曾永賢 4.連絡電話：0972-166-255 5.維修地址：台東縣台東市正氣路300之1號地下1樓 6.設備品牌型號/序號：E21SI18062677613 7.保固與否：過保 8.問題：水槍總成,請報價!"
"T-5288","2026-06-17","2026-06-18","完修","","已封存","陳柏凱 Kevin","全家-龍潭中興","XS","5","","","","","叫修:三級維修","叫修:三級維修 1.客戶名稱/經銷：全家便利商店-龍潭中興店 2.統編： 3.聯絡人：秦嬿麟 4.聯絡電話號碼：034990684 5.地址：桃園市龍潭區中興村中興路６５號１樓 6.機型/機號：E60SJ23073072574 7.保固與否：否 8.故障問題：Rational智能蒸烤爐晚上清潔完畢 無法正常開機"
"T-4022","2026-06-17","2026-06-18","完修","","已封存","陳柏凱 Kevin","21世紀 桃園遠百","ICP","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：21世紀_桃園遠百 2.統編： 3.聯絡人：吳S-職員 4.聯絡電話號碼：03-331-1521 5.地址：桃園市中正路20號 6.機型/機號： 7.保固與否： 8.故障問題：供應水會斷斷續續"
"T-2666","2026-06-17","2026-06-18","完修","","已封存","邱信豪 Mars","聚禾豐股份有限公司","XS","5","","","","","叫修:","叫修:  1.客戶名稱/經銷：聚禾豐股份有限公司- *kafeD 台北101 The One店* 2.統編：50824845 3.聯絡人：陳先生 4.聯絡電話號碼：0912-976616 5.地址：臺北市信義區西村里市府路45號4樓11櫃 6.機型/機號：ICP  XS ULTRAVENT PLUS /E60SJ23083076655 7.保固與否：過保 8.故障問題： 5/20叫修近期油煙味變重，也未洗過前排濾網，可能後方HEPA過濾器須更換。  6/17叫修供水裝置故障"
"T-1256","2026-06-17","2026-06-29","完修","已報價","已封存","劉峻宇 Otto","張耿僖/丸品企業(經銷","ICP 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：張耿僖/丸品企業(經銷) 2.統編： 3.聯絡人：張耿僖 4.聯絡電話號碼：0912887735 5.地址：新北市土城區中興路9號 6.機型/機號：E11SJ20072835687 7.保固與否：否 8.故障問題：s-110   s34  s10 營業時間早上9點~6點"
"T-4865","2026-06-17","2026-06-17","完修","","已封存","劉峻宇 Otto","諾亞場勘","ICP 61","5","","","","","諾亞場勘","諾亞場勘 再麻煩與旺洲沈老闆約時間  謝謝"
"T-6614","2026-06-17","2026-07-01","報價","已報價","處理中","廖聖典 Max","源 海南雞飯","RC 752","5","","","","","叫修","叫修 店名：源 海南雞飯 聯絡人： 地址：104臺北市中山區雙城街12巷9-1號1樓 機型：robot coupe  序號：R752 問題：錯誤碼顯示"
"T-0995","2026-06-18","2026-06-18","完修","","已封存","劉峻宇 Otto","全家-板橋車站店","XS","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：全家-板橋車站店 2.統編： 3.聯絡人：王楷崴 4.聯絡電話號碼：0289693201 5.地址：新北市板橋區縣民大道二段７號Ｂ１ 6.機型/機號：E60SJ22012943255 7.保固與否： 8.故障問題：營業擔當來電，Rational智能蒸烤爐顯示球閥故障S27，6/16 技師來查修回報沒問題相同問題又再出現了。麻煩優先處理因為連假人潮多設備用量大"
"T-8709","2026-06-18","2026-06-18","完修","","已封存","陳祐嘉 Dean","85大保養機器","咖啡機","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：85大保養機器 2.統編： 3.聯絡人： 4.聯絡電話號碼： 5.地址：外包商 工作室 6.機型/機號：Evo *2 7.保固與否：否 8.故障問題：明日已約好跟外包商去載兩台８５大保養機器"
"T-7018","2026-06-18","2026-06-18","完修","","已封存","陳柏凱 Kevin","全家-楊梅國寶店","XS","5","","","","","叫修:二級維修","叫修:二級維修 1.客戶名稱/經銷：全家-楊梅國寶店 2.統編： 3.聯絡人：黃國峻 4.聯絡電話號碼：034882769 5.地址：桃園市楊梅區秀才路209號1樓 6.機型/機號：E60SJ23093085028 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示錯誤資訊球閥功能故障"
"T-1220","2026-06-18","2026-06-18","完修","","已封存","邱信豪 Mars","承津","ICP 101","5","","","","","緊急叫修:","緊急叫修: 1.客戶名稱/經銷：承津 2.統編：50978496 3.聯絡人：宋先生 4.聯絡電話號碼：0916908466  5.地址：五股區芳洲二路71-10號（118號對面） 6.機型/機號：ICP101G/G11SJ20122863005 7.保固與否：過保 8.故障問題：門開門無感應"
"T-3180","2026-06-18","2026-06-22","完修","","已封存","劉峻宇 Otto","微兜 小碧潭","EVO 2","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：微兜 小碧潭 2.統編： 3.聯絡人： 4.聯絡電話號碼：02-29115998 5.地址：新北市新店區中央路157號5樓 6.機型/機號：EVO2 7.保固與否：過保 8.故障問題：鍋爐壓力不足，萃取咖啡時有異音。"
"T-5678","2026-06-08","2026-06-25","完修","同意報價","已封存","林正賢 Jeff","家樂福超市-蘆洲三民店","ICP 101","5","","","","","叫修","叫修 1.客戶名稱/經銷：家樂福超市-蘆洲三民店 2.統編： 3.聯絡人：呂志謙區域養護經理 4.聯絡電話號碼：0928-760-440 5.地址： 新北市蘆洲區三民路54號 6.機型/機號：E11SJ20122862046 7.保固與否：過保 8.故障問題:無法清洗。S-47.1  清洗泵，清洗壓力管56.00.175P"
"T-2801","2026-06-18","2026-06-19","完修","","已封存","林正賢 Jeff","全家-樹林台鐵店","XS","5","","","","","叫修:二級維修","叫修:二級維修 1.客戶名稱/經銷：全家 - 樹林台鐵店 2.統編： 3.聯絡人：賴小姐 4.聯絡電話號碼：0226817735 5.地址：新北市樹林區鎮前街112號 6.機型/機號：E60SJ22082989914 7.保固與否：否 8.故障問題：Rational智能蒸烤爐不運作"
"T-6367","2026-06-18","2026-06-24","完修","","已封存","陳柏凱 Kevin","桃園醫院","SCC WE 101","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：桃園醫院 2.統編： 3.聯絡人：營養師 /  4.聯絡電話號碼：03-3699721轉3041 5.地址：桃園市桃園區中山路1492號B1營養科供膳 6.機型/機號:E11SI17032576688(左邊蒸烤箱) 7.保固與否：過保 8.故障問題：5/28檢修清洗泵耗損，沖力弱  客戶報價單回傳 請派工"
"T-4453","2026-06-18","2026-06-19","完修","","已封存","林正賢 Jeff","21世紀-三峽北大","ICP 61","5","","","","","緊急叫修:","緊急叫修: 1.客戶名稱/經銷：21世紀-三峽北大 2.統編： 3.聯絡人： 4.聯絡電話號碼：02-26718821  5.地址：新北市三峽區大學路148之2號 6.機型/機號：ICP061/E61SJ24073152364 7.保固與否：保固 8.故障問題  風扇故障/烤雞烤不熟"
"T-9668","2026-06-21","2026-06-25","完修","","已封存","劉明忠 Yuie","85台南新營","EVO2 、DC-ONE","5","","","","","叫修:","叫修: 1.客戶名稱/經銷：85台南新營 2.統編： 3.聯絡人：店長 4.聯絡電話號碼：06-6379985 5.地址： 730台南市新營區民權路71號 6.機型/機號：EVO2 、DC-ONE 7.保固與否：如水垢收費 、刀盤更換收費 8.故障問題 1. 熱水又漏水 2.更換刀盤提醒"
"T-6342","2026-06-21","2026-06-22","完修","","已封存","林正賢 Jeff","薩莉亞桃園大全聯店-優仕咖啡","A400","5","","","","","薩莉亞桃園大全聯店","薩莉亞桃園大全聯店 裝機地址：桃園市中壢區中北路二段468號 B1 新裝機保固  連續兩天跳此錯誤 重開機後又可以正常 但偶時又會跳出"
"T-1264","2026-06-21","2026-06-22","完修","","已封存","林正賢 Jeff","全家 - 北護店","XS","5","","","","","1.客戶名稱/經銷：全家 - 北護店","1.客戶名稱/經銷：全家 - 北護店 2.統編： 3.聯絡人：林先生 4.聯絡電話號碼：0228212508 5.地址：台北市北投區明德路365號教學研究大樓一樓 6.機型/機號：E60SJ23073071436 7.保固與否：否 8.故障問題：Rational智能蒸烤爐顯示球閥故障;營業時間:06-24"
"T-6173","2026-06-20","2026-06-25","完修","","已封存","林正賢 Jeff","圓山10F宴會廚","ICP 202","5","","","","","1.客戶名稱/經銷：圓山10F宴會廚40盤","1.客戶名稱/經銷：圓山10F宴會廚40盤 2.統編： 3.聯絡人：林 副領班 4.聯絡電話號碼：0916409676 5.地址：臺北市中山北路四段1號 6.機型/機號：E22SJ25093253872 7.保固與否：保固 8.故障問題：側板脫落。"
